index,reference,prediction,wer,cer,audio_length
0,"Elm adamları, planetlərin, xüsusilə də quyruqlu ulduzlar uzun zaman əvvəl Yer planeti ilə toqquşduğu üçün Yer planetinin necə yarandığını başa düşməyə çalışır.",Elim adamları planetlərin süsilə də quyruqlı ulduzlar uzun zaman əvvəl yer planeti ilə topuştubu üçün yer planetinin ne ziyarandığını başa düşməyə çalışır.,40.0,8.44,16.2
1,"Onun 20 yaşlarında olduğu bildirilir. Biber açıqlamasında ""Bu faciəvi qəzanın birbaşa iştirakçısı olmasam da, düşüncələrim və dualarım hadisə qurbanının ailəsinin yanındadır"" dedi.","10-20 yaşlarında olduğu bildirlir. Biber asıqlamasında bu facəv-qəzanın birbaşa iştirakçısı olmasam da, düşüncülərin və dualarım hadisə qurbanının ailəsinin yanındadır, dedir.",42.86,8.05,12.24
2,Pulcuq kimi dərisi və dırnaqları olan ayaqlara sahib bu quşlar yumurta qoya bilir və tirannozavr rekslər kimi iki arxa ayaqlarının üstündə gəzə bilirlər.,Pulcub kimi dərisi və dırnaxlar onu ayaqlara sahib buquşlar yumurta qoyabilir və tiranazavr rexslər kimi iki arx ayaqlarının üstündə gəzə bilirlər.,43.48,7.89,10.08
3,"Şou başladıqdan sadəcə 5 dəqiqə sonra külək əsməyə başladı, bir dəqiqə keçməmiş küləyin sürəti artıq saatda 70 km idi...sonra yağış gəldi, amma yağış damcıları o qədər sərt və böyük idi ki, dəriyə iynə kimi batırdı, sonrası göydən dolu yağdı, insanlar təşvişlə və bağıraraq bir-birlərinin üstündən keçərək qaçmağa başladılar.","Şov başladığı dən sadece 5 dəyəqə sonra külləyə esməyə başladı. Bir dəyəqə keçməmiş külləyin çürət artıq sağda 70 km idi. Sonra yaqış gəldi, amma yaqış damcılar o qədər sərt və böyük idi ki, dəriyə iğne kimi batırdı. Sonrası qöydən doluyaqdı. İnsanlar təşvişlə və bağıraraq bir bilənin üstündən keçirəyə qasmağa başladılar.",65.12,12.9,27.66
4,"""Maria"" adlanan qaranlıq qatların altında daha nazik, dağlıq yerlərin altında isə daha qalın görünür.","Mari adlanan qaranlı qahtların altında daha naziq, dahlıq yerlərin altında isə daha qalan görünür.",38.46,6.25,10.86
5,"ABŞ-ın Geoloji Xidmətlər Bürosunun Astrologiya Heyətindən və Arizona ştatının Flagstaff şəhərində yerləşən Şimali Arizona Universitetindən olan Qlen Kuşinqin dediyinə görə, ""onların termal hərəkətləri, Yer planetindəki kifayət qədər davamlı temperaturu tez-tez dəstəkləyən böyük mağaralarda olanlar qədər stabil deyil, ancaq bu həmin dərin dəliklərin torpaqda olması ilə əlaqəlidir"".","Abuşun geologi xidmətlər bürosunun astrologi həyətindən ve Arizona şudatının flux-staff şəhərində iləşən şimali Arizona üniversitetinə nolan Qlyn-Kuşingindəlik nə görə, onların tərmal hərəkətləri yəgər, planetindəki kifaya qədər davamlı temperature-u deyirsiniz, dəstəkləyin böyük maharalar davlanır qədər stabil deyir. Onca bu həmin dərin dəriklərin torbaqda olması ilə lagəlidir.",62.79,15.86,27.96
6,"Katalon dili Metroda müntəzəm olaraq verilən elanların əsas dilidir, lakin avtomatlaşdırılmış sistem planlaşdırılmamış problemlər barədə elanları fərqli dillərdə, o cümlədən İspan, İngilis, Fransız, Ərəb və Yapon dillərində verir.","Katolub dili metrada minitəzim olaraq verilən eylənlərin nəsəs dilidır. Lakin automatılaşdırılmış, sistem pənlaşdırılmalış problemlər barədə eylənlər fərqli dillərdə, o cübələdən İspan, İngiliz, Fransız, ərab və yapan dillərində verilir.",60.87,14.61,19.14
7,"Körpünün istifadəyə verilişi 2017-ci ilin sentyabr ayına, yəni Braziliya gömrük nəzarəti məntəqələrinin işlərini bitirəcəyi vaxta planlaşdırılır.","Çöribünün istifadəya verilişi 2017-ci Ebrahimə, yəni, Brasi ilə gömlük nəzarəti məntəgələrinin işlərinə bitirəcəyə vəxudda planlaşdırılır.",73.33,22.7,9.78
8,"Əlbəttə bu ənənənin Xristian dini baxımından izahı var, amma bu xristianlıqdan əvvəl olan Baharın gəlişi və məhsuldarlıq səbəbilə də keçirilə bilər.","Albəxt də bu ənəni, xristiyan dini baxımından izahı var. Amma bu xristiyanlıqdan əvvəl olan baharın gərişi və məhsildəli səbəbillə də keşirlə bilər.",55.0,13.79,11.82
9,"Yenə də, Şengen zonası bu baxımdan bir qədər tək dövlət funksiyasına malikdir.",Yenə də Şəngin zonası bu baxımdan bir qədə tək dövlət funqüsəsində malikdir.,36.36,16.0,5.22
10,Bu tapıntı həm də quş lələklərinin təkamülü haqqında təsəvvür yaradır.,Bu tapındı həm də Quşlə eləkilənin təkamil haqqında təsəbür yaratır.,60.0,17.39,9.66
11,Sundarban dünyanın ən böyük sahilyanı manqrov bölgəsidir və sahildən Banqladeş və Hindistanın içərilərinə doğru 80 km (50 mil) uzanır.,"Sundarban dünyanın ən böyük sahiliyanı Mangurov bölgəsidir və sahildən bangaladır və hindistanın inşərlərinə doğru 60 km, 50 mil uzanır.",36.84,9.16,10.2
12,"O, bütün bu şayiələri ""siyasi boşboğazlıq və axmaqlıq"" adlandırdı.","O, bütün bu şayələri siyasi boş bağızlıq və ahmulqlıq adlandırırdı.",62.5,14.75,8.34
13,"Mərasimin İtaliyanın bir çox digər şəhərlərində və dünyanın qalan hissəsində, xüsusilə də Polşada geniş insan kütlələri tərəfindən izlənməsi üçün həmin yerlərə də eyni şəkildə nəhəng ekranlar quraşdırıldı.","Mərasımin İtalyanın bir çox digər şəhərlərində və dünyanın qalan isəsində, xüsusilə də polşada geniş insan köçlərə tərəfindən izlənməsi üzün, həmin yerlərə enişəkildə nəhək əqraqınlar quraşdırılırdı.",46.15,11.88,13.2
14,"Filippinli fotoqraflar kimi uşaqlar və yaşlılar da daxil, 6 əsr sərbəst buraxıldı.","Fülifbinin fotograflar kimi uşaqlar və yaşlılar da daxil, 6 esir sərbəz bırakıldı.",45.45,15.19,10.38
15,Qonaqlarının ruh yüksəkliyini qorumaq və onların həmin yerdə qonaqlamasını təmin etmək üçün onlar adətən xüsusi yemək-içmək və əyləncə təklif edirlər.,"Qonqlara rüq hüqsəkləyini qorumak və onların həmin yeri də qonqlanmasını təmin etmək üçün onlar adətən xüsusi gəmək, içmək və ələncə təklif edirlər.",45.0,12.16,13.56
16,Dünən axşam Buenos Airesdən 50 km (31 mil) məsafədə yerləşən La Plata şəhərində hazırki senator və Argentinanın birinci xanımı Kristina Fernandez de Kirçner prezidentliyə namizədliyini elan etdi.,Dünən akşam Buena Sairesdən 50 km 31-mil məsafədə yerləşən Laplata şəhərində Hazırki Senatır Varginsinə 1. qanımı Kristina Fernandızda Kirşınır prezidentliyə namizətliyini eyalan etti.,66.67,17.19,14.16
